# DE2000               RA2000                HD         Pol      e_Pol                  PA      e_PA   GLON       GLAT       E_B-V_   Vmag   Dist      PolRefs                 
  -73.5311             70.40102999999999     30580.0    0.247    0.013000000000000001   175.6   1.5    285.9664   -34.9377   ""       8.7    ""        0000000000100000000000  
  -73.44659999999999   235.08899999999997    138800.0   0.51     0.035                  65.6    2.0    314.3363   -14.438    0.1      5.6    202.0     0000000000001000000000  
  -73.38949999999998   232.87841999999998    137387.0   0.93     0.035                  122.0   1.1    313.8531   -14.0115   0.1      5.5    418.0     0000000000001000000000  
  -73.35359999999999   174.161265            101011.0   0.076    0.04700000000000001    135.9   17.0   297.5589   -11.267    0.02     7.8    103.0     0010000000000000000000  
  -73.28179999999999   61.43107499999999     26594.0    0.786    0.023000000000000003   41.1    0.8    287.1978   -37.3089   ""       8.2    ""        0000000000100000000000  
  -73.13759999999999   9.669405              3719.0     0.09     0.035                  113.5   11.0   304.2168   -43.9588   0.0      6.8    138.0     0000000000001000000000  
  -73.0679             14.198354999999998    5688.0     0.245    0.025                  48.5    2.9    302.3893   -44.0547   ""       8.4    ""        0000000000100000000000  
  -72.82099999999998   63.27571499999999     27415.0    0.019    0.009000000000000001   152.3   13.3   286.3503   -37.095    ""       7.5    ""        0000000000100000000000  
  -72.76469999999999   73.36747499999998     32035.0    0.047    0.011000000000000001   141.1   6.7    284.7122   -34.4251   ""       7.2    ""        0000000000100000000000  
  -72.73429999999999   68.64398999999999     29769.0    0.048    0.012000000000000002   146.3   7.1    285.3335   -35.7302   ""       7.0    ""        0000000000100000000000  
  -72.71679999999999   188.81891999999996    109399.0   2.19     0.1                    111.0   1.3    301.7144   -9.8834    0.3      7.6    2702.0    0000000000000100000000  
  -72.62979999999999   195.30776999999998    112843.0   1.0      0.1                    110.1   2.9    303.6734   -9.7722    0.3      9.6    4274.0    0000000000000100000000  
  -72.6026             136.28679             78791.0    0.06     0.035                  9.1     16.3   287.825    -16.7702   0.2      4.5    87.0      0000000000001000000000  
  -72.54419999999999   317.83694999999994    200924.0   0.17     0.035                  93.5    5.9    320.6224   -36.0171   0.1      6.2    83.2      0000000000001000000000  
  -72.47389999999999   172.076925            99872.0    3.03     0.035                  117.6   0.3    296.6909   -10.6171   0.4      6.1    200.0     0000000000001000000000  
  -72.45609999999999   75.14044499999999     33032.0    0.119    0.010000000000000002   4.9     2.4    284.15     -34.0252   ""       8.9    ""        0000000000100000000000  
  -72.401              241.48283999999998    143346.0   0.08     0.035                  58.8    12.3   316.5088   -14.8787   0.1      5.7    66.1      0000000000001000000000  
  -72.3997             358.20088499999997    223777.0   0.026    0.015000000000000001   174.6   16.1   309.0409   -44.0264   ""       7.6    ""        0000000000100000000000  
  -72.31869999999999   0.18887999999999996   224790.0   0.038    0.009000000000000001   168.3   6.8    308.2711   -44.2803   ""       8.5    ""        0000000000100000000000  
  -72.25659999999999   171.046575            99264.0    2.36     0.035                  120.4   0.4    296.3183   -10.5145   0.3      5.6    395.0     0000000000001000000000  
  -72.21329999999999   46.44734999999999     19782.0    0.2      0.09600000000000002    50.6    13.5   289.922    -41.3506   0.0      9.7    524.8     0000000000001000000000  
  -72.13289999999999   188.11712999999997    109026.0   0.04     0.035                  163.3   23.6   301.459    -9.3155    0.0      3.9    122.0     0000000000001000000000  
  -71.9943             170.01734999999996    98695.0    1.9      0.035                  117.4   0.5    295.925    -10.3768   0.3      6.4    253.0     0000000000001000000000  
  -71.82679999999999   32.449754999999996    13698.0    0.26     0.11000000000000001    94.6    11.9   294.5719   -44.0072   0.1      10.0   575.4     0000000000001000000000  
  -71.7314             192.37787999999998    111290.0   1.58     0.1                    106.5   1.8    302.7792   -8.8603    0.2      7.8    2544.5    0000000000000100000000  
  -71.62169999999999   189.82990499999997    109885.0   3.62     0.1                    109.3   0.8    301.9659   -8.7728    0.4      9.0    1965.5    0000000000000100000000  
  -71.47569999999999   195.77233499999997    113120.0   1.176    0.15100000000000002    115.0   3.7    303.8676   -8.6251    0.3      6.1    595.0     0000000000000100000001  
  -71.43679999999999   1.1718899999999999    225253.0   0.03     0.1                    137.0   59.0   308.1841   -45.2116   0.0      5.6    242.0     0000000000000000000001  
